Pot #,Location,Genotype,Treatment,Dead_0,Treat
108,Spain,W6 5325,FL-Polatka1,0,Soil
165,Portugal,PI 493291,FL-UF4,0,Soil
182,Australia,PI 197336,FL-UF4,0,Soil
271,Florida,Polatka-3,PT-MRMtr1,0,Soil
278,Florida,Polatka-3,PT-GilNS2,0,Soil
189,Australia,PI 197336,PT-GilNS2,0,Soil
135,Italy,W6 5595,FL-UF4,0,Soil
214,Australia,W6 5527,PT-CMNS4,0,Soil
239,Australia,W6 5527,Buffer,1,Buffer
39,Spain,PI 319034,PT-GilNS2,0,Soil
285,Florida,Polatka-3,FL-UF4,0,Soil
344,Florida,St. Aug-13,FL-UF4,0,Soil
339,Florida,St. Aug-13,PT-GilNS2,0,Soil
68,Portugal,PI 493293,PT-GilNS2,0,Soil
117,Spain,W6 5325,Rhizobia,1,WSM
56,Spain,PI 319034,Rhizobia,1,WSM
123,Italy,W6 5595,PT-MRMtr1,0,Soil
55,Spain,PI 319034,Rhizobia,1,WSM
125,Italy,W6 5595,PT-CMNS4,1,Soil
164,Portugal,PI 493291,FL-UF4,1,Soil
134,Italy,W6 5595,FL-UF4,0,Soil
276,Florida,Polatka-3,PT-CMNS4,0,Soil
66,Portugal,PI 493293,PT-CMNS4,0,Soil
180,Portugal,PI 493291,Buffer,1,Buffer
88,Portugal,PI 493293,Buffer,1,Buffer
10,France ,W6 5326,PT-Frizeta2,1,Soil
22,France ,W6 5326,FL-StAug1,0,Soil
97,Spain,W6 5325,PT-GilNS2,0,Soil
156,Portugal,PI 493291,PT-CMNS4,1,Soil
99,Spain,W6 5325,PT-GilNS2,1,Soil
195,Australia,PI 197336,FL-UF4,1,Soil
152,Portugal,PI 493291,PT-MRMtr1,0,Soil
323,Chile,PI 368958,FL-StAug1,0,Soil
73,Portugal,PI 493293,FL-UF4,1,Soil
266,California,Mt. Wilson-4,Rhizobia,1,WSM
133,Italy,W6 5595,FL-UF4,0,Soil
148,Italy,W6 5595,Buffer,1,Buffer
40,Spain,PI 319034,PT-Frizeta2,0,Soil
228,Australia,W6 5527,FL-Polatka1,0,Soil
87,Portugal,PI 493293,Rhizobia,1,WSM
100,Spain,W6 5325,PT-Frizeta2,1,Soil
255,California,Mt. Wilson-4,FL-UF4,0,Soil
179,Portugal,PI 493291,Buffer,1,Buffer
217,Australia,W6 5527,PT-GilNS2,0,Soil
268,California,Mt. Wilson-4,Buffer,1,Buffer
187,Australia,PI 197336,PT-GilNS2,0,Soil
35,Spain,PI 319034,PT-CMNS4,0,Soil
204,Australia,PI 197336,FL-StAug1,0,Soil
356,Florida,St. Aug-13,Rhizobia,1,WSM
185,Australia,PI 197336,PT-CMNS4,0,Soil
205,Australia,PI 197336,Rhizobia,1,WSM
229,Australia,W6 5527,FL-Rivercrest2,1,Soil
78,Portugal,PI 493293,FL-Polatka1,0,Soil
52,Spain,PI 319034,FL-StAug1,0,Soil
159,Portugal,PI 493291,PT-GilNS2,0,Soil
163,Portugal,PI 493291,FL-UF4,0,Soil
16,France ,W6 5326,FL-Polatka1,0,Soil
297,Florida,Polatka-3,Rhizobia,1,WSM
173,Portugal,PI 493291,FL-StAug1,0,Soil
352,Florida,St. Aug-13,FL-StAug1,0,Soil
250,California,Mt. Wilson-4,PT-Frizeta2,0,Soil
282,Florida,Polatka-3,PT-Frizeta2,0,Soil
259,California,Mt. Wilson-4,FL-Rivercrest2,0,Soil
317,Chile,PI 368958,FL-Polatka1,0,Soil
102,Spain,W6 5325,PT-Frizeta2,0,Soil
104,Spain,W6 5325,FL-UF4,1,Soil
354,Florida,St. Aug-13,FL-StAug1,0,Soil
322,Chile,PI 368958,FL-StAug1,0,Soil
80,Portugal,PI 493293,FL-Rivercrest2,0,Soil
346,Florida,St. Aug-13,FL-Polatka1,0,Soil
284,Florida,Polatka-3,FL-UF4,0,Soil
273,Florida,Polatka-3,PT-MRMtr1,0,Soil
281,Florida,Polatka-3,PT-Frizeta2,0,Soil
190,Australia,PI 197336,PT-Frizeta2,1,Soil
6,France ,W6 5326,PT-CMNS4,0,Soil
200,Australia,PI 197336,FL-Rivercrest2,0,Soil
111,Spain,W6 5325,FL-Rivercrest2,0,Soil
307,Chile,PI 368958,PT-GilNS2,0,Soil
213,Australia,W6 5527,PT-MRMtr1,0,Soil
172,Portugal,PI 493291,FL-StAug1,0,Soil
328,Chile,PI 368958,Buffer,0,Buffer
105,Spain,W6 5325,FL-UF4,1,Soil
12,France ,W6 5326,PT-Frizeta2,1,Soil
147,Italy,W6 5595,Rhizobia,1,WSM
219,Australia,W6 5527,PT-GilNS2,0,Soil
270,California,Mt. Wilson-4,Buffer,1,Buffer
355,Florida,St. Aug-13,Rhizobia,1,WSM
110,Spain,W6 5325,FL-Rivercrest2,0,Soil
90,Portugal,PI 493293,Buffer,1,Buffer
174,Portugal,PI 493291,FL-StAug1,0,Soil
145,Italy,W6 5595,Rhizobia,1,WSM
304,Chile,PI 368958,PT-CMNS4,0,Soil
158,Portugal,PI 493291,PT-GilNS2,0,Soil
286,Florida,Polatka-3,FL-Polatka1,0,Soil
257,California,Mt. Wilson-4,FL-Polatka1,0,Soil
57,Spain,PI 319034,Rhizobia,1,WSM
192,Australia,PI 197336,PT-Frizeta2,0,Soil
181,Australia,PI 197336,PT-MRMtr1,0,Soil
294,Florida,Polatka-3,FL-StAug1,0,Soil
118,Spain,W6 5325,Buffer,1,Buffer
45,Spain,PI 319034,FL-UF4,1,Soil
274,Florida,Polatka-3,PT-CMNS4,0,Soil
1,France ,W6 5326,PT-MRMtr1,0,Soil
241,California,Mt. Wilson-4,PT-MRMtr1,0,Soil
203,Australia,PI 197336,FL-StAug1,0,Soil
4,France ,W6 5326,PT-CMNS4,0,Soil
176,Portugal,PI 493291,Rhizobia,1,WSM
24,France ,W6 5326,FL-StAug1,0,Soil
136,Italy,W6 5595,FL-Polatka1,1,Soil
32,Spain,PI 319034,FL-UF4,0,Soil
267,California,Mt. Wilson-4,Rhizobia,1,WSM
199,Australia,PI 197336,FL-Rivercrest2,1,Soil
94,Spain,W6 5325,PT-CMNS4,0,Soil
44,Spain,PI 319034,FL-UF4,1,Soil
60,Spain,PI 319034,Buffer,1,Buffer
49,Spain,PI 319034,FL-Rivercrest2,0,Soil
288,Florida,Polatka-3,FL-Polatka1,0,Soil
207,Australia,PI 197336,Rhizobia,1,WSM
79,Portugal,PI 493293,FL-Rivercrest2,0,Soil
311,Chile,PI 368958,PT-Frizeta2,1,Soil
107,Spain,W6 5325,FL-Polatka1,0,Soil
128,Italy,W6 5595,PT-GilNS2,0,Soil
101,Spain,W6 5325,PT-Frizeta2,1,Soil
157,Portugal,PI 493291,PT-GilNS2,0,Soil
81,Portugal,PI 493293,FL-Rivercrest2,0,Soil
319,Chile,PI 368958,FL-Rivercrest2,1,Soil
86,Portugal,PI 493293,Rhizobia,1,WSM
198,Australia,PI 197336,FL-Polatka1,1,Soil
237,Australia,W6 5527,Rhizobia,1,WSM
3,France ,W6 5326,PT-MRMtr1,0,Soil
46,Spain,PI 319034,FL-Polatka1,0,Soil
193,Australia,PI 197336,FL-UF4,1,Soil
308,Chile,PI 368958,PT-GilNS2,0,Soil
215,Australia,W6 5527,PT-CMNS4,0,Soil
23,France ,W6 5326,FL-StAug1,0,Soil
166,Portugal,PI 493291,FL-Polatka1,1,Soil
58,Spain,PI 319034,Buffer,0,Buffer
233,Australia,W6 5527,FL-StAug1,0,Soil
146,Italy,W6 5595,Rhizobia,1,WSM
287,Florida,Polatka-3,FL-Polatka1,0,Soil
238,Australia,W6 5527,Buffer,1,Buffer
222,Australia,W6 5527,PT-Frizeta2,1,Soil
77,Portugal,PI 493293,FL-Polatka1,0,Soil
275,Florida,Polatka-3,PT-CMNS4,0,Soil
53,Spain,PI 319034,FL-StAug1,0,Soil
313,Chile,PI 368958,FL-UF4,0,Soil
51,Spain,PI 319034,FL-Rivercrest2,0,Soil
309,Chile,PI 368958,PT-GilNS2,0,Soil
316,Chile,PI 368958,FL-Polatka1,1,Soil
261,California,Mt. Wilson-4,FL-Rivercrest2,0,Soil
265,California,Mt. Wilson-4,Rhizobia,1,WSM
330,Chile,PI 368958,Buffer,1,Buffer
93,Spain,W6 5325,PT-MRMtr1,0,Soil
334,Florida,St. Aug-13,PT-CMNS4,0,Soil
67,Portugal,PI 493293,PT-GilNS2,0,Soil
137,Italy,W6 5595,FL-Polatka1,1,Soil
124,Italy,W6 5595,PT-CMNS4,0,Soil
151,Portugal,PI 493291,PT-MRMtr1,0,Soil
178,Portugal,PI 493291,Buffer,1,Buffer
245,California,Mt. Wilson-4,PT-CMNS4,0,Soil
59,Spain,PI 319034,Buffer,1,Buffer
168,Portugal,PI 493291,FL-Polatka1,0,Soil
269,California,Mt. Wilson-4,Buffer,1,Buffer
161,Portugal,PI 493291,PT-Frizeta2,0,Soil
21,France ,W6 5326,FL-Rivercrest2,0,Soil
119,Spain,W6 5325,Buffer,1,Buffer
242,California,Mt. Wilson-4,PT-MRMtr1,0,Soil
74,Portugal,PI 493293,FL-UF4,0,Soil
175,Malta ,W6 5375,Rhizobia,1,WSM
176,Malta ,W6 5375,Rhizobia,1,WSM
177,Malta ,W6 5375,Rhizobia,1,WSM
178,Malta ,W6 5375,Buffer,1,Buffer
179,Malta ,W6 5375,Buffer,1,Buffer
180,Malta ,W6 5375,Buffer,1,Buffer
