"Pot","Genotype","Habitat","Range","Position","Treatment","Inoculate","SoilConc","SoilLocation","Match","DeadOrAlive","WeekstoDie","RootWeight","ShootWeight","NodWeight","NodNum","PodNum","Shoot_Root"
85,"PI493292","PT"," Native",88,5,"WSM","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
86,"PI493292","PT"," Native",52,5,"WSM","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
87,"PI493292","PT"," Native",33,5,"WSM","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
88,"PI493292","PT"," Native",65,5,"WSM","low","FL","Different","Alive",NA,0.1034,0.3505,0.0109,23,0,3.38974854932302
89,"PI493292","PT"," Native",29,5,"WSM","low","FL","Different","Alive",NA,0.1184,0.3669,0.008,30,1,3.09881756756757
90,"PI493292","PT"," Native",60,5,"WSM","low","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
91,"PI493292","PT"," Native",59,6,"WSM","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
92,"PI493292","PT"," Native",21,6,"WSM","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
93,"PI493292","PT"," Native",84,6,"WSM","high","FL","Different","Dead",1,NA,NA,NA,NA,NA,NA
94,"PI493292","PT"," Native",11,6,"WSM","high","FL","Different","Alive",NA,0.0311,0.28,0.0023,14,9,9.0032154340836
95,"PI493292","PT"," Native",55,6,"WSM","high","FL","Different","Alive",NA,0.048,0.1997,0.0026,18,10,4.16041666666667
96,"PI493292","PT"," Native",110,6,"WSM","high","FL","Different","Alive",NA,0.0449,0.3333,0.0051,19,7,7.42316258351893
97,"PI493292","PT"," Native",44,7,"Buffer","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
98,"PI493292","PT"," Native",77,7,"Buffer","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
99,"PI493292","PT"," Native",14,7,"Buffer","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
100,"PI493292","PT"," Native",113,7,"Buffer","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
101,"PI493292","PT"," Native",51,7,"Buffer","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
102,"PI493292","PT"," Native",1,7,"Buffer","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
103,"PI493292","PT"," Native",91,8,"Buffer","low","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
104,"PI493292","PT"," Native",95,8,"Buffer","low","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
105,"PI493292","PT"," Native",114,8,"Buffer","low","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
106,"PI493292","PT"," Native",4,8,"Buffer","low","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
107,"PI493292","PT"," Native",26,8,"Buffer","low","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
108,"PI493292","PT"," Native",93,8,"Buffer","low","PT","Same","Alive",NA,0.0232,0.1235,0.0036,9,6,5.32327586206897
109,"PI493292","PT"," Native",41,9,"WSM","low","PT","Same","Alive",NA,0.102,0.517,0.008,38,9,5.06862745098039
110,"PI493292","PT"," Native",103,9,"WSM","low","PT","Same","Alive",NA,0.045,0.3922,0.0032,18,4,8.71555555555556
111,"PI493292","PT"," Native",10,9,"WSM","low","PT","Same","Alive",NA,0.0754,0.3942,0.0076,42,4,5.22811671087533
112,"PI493292","PT"," Native",23,9,"WSM","low","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
113,"PI493292","PT"," Native",5,9,"WSM","low","PT","Same","Alive",NA,0.0787,0.718,0.0055,26,11,9.12325285895807
114,"PI493292","PT"," Native",118,9,"WSM","low","PT","Same","Alive",NA,0.0565,0.3477,0.0044,28,9,6.15398230088496
115,"PI493292","PT"," Native",50,10,"WSM","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
116,"PI493292","PT"," Native",49,10,"WSM","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
117,"PI493292","PT"," Native",106,10,"WSM","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
118,"PI493292","PT"," Native",15,10,"WSM","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
119,"PI493292","PT"," Native",42,10,"WSM","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
120,"PI493292","PT"," Native",87,10,"WSM","high","PT","Same","Dead",1,NA,NA,NA,NA,NA,NA
