Pot..,Location,Genotype,Treatment,Dead_0,Treat,ShootWeight,RootWeight,NodWeight,NodNum,Shoot_Root,Range
92,Spain,W6 5325,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Native
93,Spain,W6 5325,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Native
94,Spain,W6 5325,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Native
95,Spain,W6 5325,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Native
96,Spain,W6 5325,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Native
97,Spain,W6 5325,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Native
98,Spain,W6 5325,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Native
99,Spain,W6 5325,PT-GilNS2,1,Soil,NA,NA,NA,NA,NA,Native
100,Spain,W6 5325,PT-Frizeta2,1,Soil,NA,NA,NA,NA,NA,Native
101,Spain,W6 5325,PT-Frizeta2,1,Soil,NA,NA,NA,NA,NA,Native
102,Spain,W6 5325,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Native
103,Spain,W6 5325,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Native
104,Spain,W6 5325,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Native
105,Spain,W6 5325,FL-UF4,1,Soil,NA,NA,NA,NA,NA,Native
106,Spain,W6 5325,FL-Polatka1,1,Soil,NA,NA,NA,NA,NA,Native
107,Spain,W6 5325,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
108,Spain,W6 5325,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
109,Spain,W6 5325,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
110,Spain,W6 5325,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
111,Spain,W6 5325,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
112,Spain,W6 5325,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
